Date and time (UTC),Rocket,,Launch site,,LSP,
,Payload,Operator,Orbit,Function,Decay (UTC),Outcome
,Remarks,,,,,
January,,,,,,
"8 January
 01:00",Falcon 9 Full Thrust,,Cape Canaveral SLC-40,,SpaceX,
,Zuma (USA-280)[16],Unnamed U.S. government agency,Low Earth,Classified,8 January,"Launch success, satellite status classified"
,"There were unconfirmed reports that the Zuma satellite failed to separate from the second stage due to an issue with the payload adapter provided by Northrop Grumman, who also manufactured the satellite.[13] However, given the classified nature of the mission, there may not be confirmation until declassification. SpaceX and the United States Air Force reviewed the Falcon 9 flight data and saw no issues with the launch vehicle itself that would effect future launches.[14][15]",,,,,
"9 January
 03:24",Long March 2D,,Taiyuan LC-9,,CASC,
,SuperView / Gaojing-1 03,Beijing Space View Technology,Low Earth (SSO),Earth observation,In orbit,Operational
,SuperView / Gaojing-1 04,Beijing Space View Technology,Low Earth (SSO),Earth observation,In orbit,Operational
"11 January
 23:18",Long March 3B / YZ-1,,Xichang LC-2,,CASC,
,BeiDou-3 M7,CNSA,Medium Earth,Navigation,In orbit,Operational
,BeiDou-3 M8,CNSA,Medium Earth,Navigation,In orbit,Operational
"12 January
 03:58",PSLV-XL,,Satish Dhawan FLP,,ISRO,
,Cartosat-2F,ISRO,Low Earth (SSO),Earth observation,In orbit,Operational
,MicroSat-TD,ISRO,Low Earth (SSO),Technology demonstration,In orbit,Operational
,INS-1C,ISRO,Low Earth (SSO),Technology demonstration,In orbit,Operational
,LEO Vantage 1,Telesat,Low Earth (SSO),Communications,In orbit,Operational
,ICEYE X1,ICEYE,Low Earth (SSO),Technology demonstration,In orbit,Operational
,PicSat,Paris Observatory,Low Earth (SSO),Astronomy,In orbit,Operational
,Carbonite-2,Surrey Satellite Technology,Low Earth (SSO),Technology demonstration,In orbit,Operational
,"CANYVAL-X 1, 2","Yonsei University, NASA",Low Earth (SSO),Technology demonstration,In orbit,Operational
,CNUSail-1,CNU,Low Earth (SSO),Technology demonstration,In orbit,Operational
,KAUSAT 5,Korea Aerospace University,Low Earth (SSO),Technology demonstration,In orbit,Operational
,STEP Cube Lab,Chosun University,Low Earth (SSO),Technology demonstration,In orbit,Operational
,Arkyd 6A,Planetary Resources,Low Earth (SSO),Technology demonstration,In orbit,Operational
,"Landmapper-BC
 (Corvus-BC) 3 v2",Astro Digital,Low Earth (SSO),Earth observation,In orbit,Operational
,Lemur-2 x4[20],Spire Global,Low Earth,Earth observation,In orbit,Operational
,Flock-3p' x 4,Planet Labs,Low Earth (SSO),Earth observation,In orbit,Operational
,MicroMAS 2a,MIT SSL,Low Earth (SSO),Technology demonstration,In orbit,Operational
,Tyvak 61C,Tyvak Nano-Satellite Systems,Low Earth (SSO),Astronomy,In orbit,Operational
,DemoSat 2,?,Low Earth (SSO),Technology demonstration,In orbit,Operational
,Fox 1D,AMSAT,Low Earth (SSO),Technology demonstration,In orbit,Operational
,SpaceBEE x 4,?,Low Earth (SSO),Communications,In orbit,Operational
,CICERO 7,GeoOptics,Low Earth (SSO),Earth observation,In orbit,Operational
,PSLV-C40 mission successfully carried and deployed 31 satellites.[17][18][19],,,,,
"12 January
 22:11","Delta IV M+(5,2)",,Vandenberg SLC-6,,United Launch Alliance,
,NROL-47 / Topaz-5[21] / USA-281,US Air Force,LEO (retrograde),Reconnaissance,In orbit,Operational
,"Last flight of Delta IV M+(5,2) variant.",,,,,
"13 January
 07:20",Long March 2D,,Jiuquan,,CASC,
